V4 Class,V4 Parent Class,V4 Attribute,V5 Class,V5 Parent Class ,V5 Attribute,Domain
Reducing Tee,Branches,End Offset##4,No Mapping,,,
Reducing Tee,Branches,End Thickness##1,No Mapping,,,
Reducing Tee,Branches,End Thickness##2,No Mapping,,,
Reducing Tee,Branches,End Thickness##3,No Mapping,,,
Reducing Tee,Branches,End Thickness##4,No Mapping,,,
Reducing Tee,Branches,Face to Face##1,No Mapping,,,
Reducing Tee,Branches,Face to Face##2,No Mapping,,,
Reducing Tee,Branches,Face to Face##3,No Mapping,,,
Reducing Tee,Branches,Face to Face##4,No Mapping,,,
Reducing Tee,Branches,Nominal Size##1,PipingPart,Physical_Product,NominalSize,PIP
Reducing Tee,Branches,Nominal Size##2,PipingPart,Physical_Product,NominalSize2,PIP
Reducing Tee,Branches,Nominal Size##3,PipingPart,Physical_Product,NominalSize3,PIP
Reducing Tee,Branches,Nominal Size##4,PipingPart,Physical_Product,NominalSize4,PIP
Reducing Tee,Branches,OD1##1,PipingPart,Physical_Product,OutsideDiameter,PIP
Reducing Tee,Branches,OD1##2,PipingPart,Physical_Product,OutsideDiameter2,PIP
Reducing Tee,Branches,OD1##3,PipingPart,Physical_Product,OutsideDiameter3,PIP
Reducing Tee,Branches,OD1##4,PipingPart,Physical_Product,OutsideDiameter4,PIP
Reducing Tee,Branches,OD2##1,No Mapping,,,
Reducing Tee,Branches,OD2##2,No Mapping,,,
Reducing Tee,Branches,OD2##3,No Mapping,,,
Reducing Tee,Branches,OD2##4,No Mapping,,,
Reference Constraint 1,Constraint Graphic,*,No Mapping,,*,
Reference Constraint 10,Constraint Graphic,*,No Mapping,,*,
Reference Constraint 11,Constraint Graphic,*,No Mapping,,*,
Reference Constraint 12,Constraint Graphic,*,No Mapping,,*,
Reference Constraint 13,Constraint Graphic,*,No Mapping,,*,
Reference Constraint 14,Constraint Graphic,*,No Mapping,,*,
Reference Constraint 15,Constraint Graphic,*,No Mapping,,*,
Reference Constraint 16,Constraint Graphic,*,No Mapping,,*,
Reference Constraint 2,Constraint Graphic,*,No Mapping,,*,
Reference Constraint 3,Constraint Graphic,*,No Mapping,,*,
Reference Constraint 4,Constraint Graphic,*,No Mapping,,*,
Reference Constraint 5,Constraint Graphic,*,No Mapping,,*,
Reference Constraint 6,Constraint Graphic,*,No Mapping,,*,
Reference Constraint 7,Constraint Graphic,*,No Mapping,,*,
Reference Constraint 8,Constraint Graphic,*,No Mapping,,*,
Reference Constraint 9,Constraint Graphic,*,No Mapping,,*,
Reference Constraint Graphical Representation,Constraint Graphic,*,No Mapping,,*,
Reference End Limit,Constraint Graphic,*,No Mapping,,*,
Reference End Secondary Limit,Constraint Graphic,*,No Mapping,,*,
Reference Free Edge Limit,Constraint Graphic,*,No Mapping,,*,
Reference Level,Generic Bag      Object,*,No Mapping,,*,
Reference Limit 1,Constraint Graphic,*,No Mapping,,*,
Reference Limit 10,Constraint Graphic,*,No Mapping,,*,
Reference Limit 11,Constraint Graphic,*,No Mapping,,*,
Reference Limit 12,Constraint Graphic,*,No Mapping,,*,
Reference Limit 13,Constraint Graphic,*,No Mapping,,*,
Reference Limit 14,Constraint Graphic,*,No Mapping,,*,
Reference Limit 15,Constraint Graphic,*,No Mapping,,*,
Reference Limit 16,Constraint Graphic,*,No Mapping,,*,
Reference Limit 2,Constraint Graphic,*,No Mapping,,*,
Reference Limit 3,Constraint Graphic,*,No Mapping,,*,
Reference Limit 4,Constraint Graphic,*,No Mapping,,*,
Reference Limit 5,Constraint Graphic,*,No Mapping,,*,
Reference Limit 6,Constraint Graphic,*,No Mapping,,*,
Reference Limit 7,Constraint Graphic,*,No Mapping,,*,
Reference Limit 8,Constraint Graphic,*,No Mapping,,*,
Reference Limit 9,Constraint Graphic,*,No Mapping,,*,
Reference Mean Hull line,Constraint Graphic,*,No Mapping,,*,
Reference Plane,Physical Skin,*,No Mapping,,*,
Reference Plane Geometry,Physical Graphic,*,No Mapping,,*,
Reference Result Geometry,Constraint Graphic,*,No Mapping,,*,
Reference Slot Crossed Part Edge,Constraint Graphic,*,No Mapping,,*,
Reference Slot Crossing Profile Support,Constraint Graphic,*,No Mapping,,*,
Reference Slot Crossing Profile Thickness Line,Constraint Graphic,*,No Mapping,,*,
Reference Slot Crossing Profile Width Line,Constraint Graphic,*,No Mapping,,*,
Reference Start Limit,Constraint Graphic,*,No Mapping,,*,
Reference Start Secondary Limit,Constraint Graphic,*,No Mapping,,*,
Reference Welded Edge Limit,Constraint Graphic,*,No Mapping,,*,
Reference-Level Geometry,Physical Graphic,*,No Mapping,,*,
Right Hand Diverge Switch,Switch,*,No Mapping,,*,
Right Hand Merge Switch,Switch,*,No Mapping,,*,
Right Hand Positioner,Positioner,*,No Mapping,,*,
Right Hand Stop,Stop,*,No Mapping,,*,
Right Hand Stop Module,Stop,*,No Mapping,,*,
Right Hand Transfer,Transfer,*,No Mapping,,*,
Robot,Static Equipment Component,*,EquipRobot,EquipMechanical,*,EQT
Roller Turn,Horizontal Turn,*,No Mapping,,*,
Rotary Compressor,Compressor,*,EquipRotaryCompressor,EquipCompressor,*,EQT
Rotary Pump,Pump,*,EquipRotaryPump,EquipPump,*,EQT
Round Duct,Duct,*,HVACRndStDuct,HVACRndDuct,*,HVA
Round Duct,Duct,Diameter,HVACRndStDuct,HVACRndDuct,Diameter,HVA
Round Hole,Cutout,*,No Mapping,,*,
Round Plate Form,Plate with predefined form,*,No Mapping,,*,
Rupture Disk,Miscellaneous,*,PipingRuptureDisk,PipingMiscellaneous,*,PIP
Safety Equipment,Static Equipment Component,*,EquipSafety,EquipMechanical,*,EQT
Safety Valve Function,Process Control Function Part,*,PipingSafetyValveFunc_Sample,PipingValveFunc,*,PIP
Sandwich Part,Hull Steelwork Plate Type,*,No Mapping,,*,
Sandwich Wall,Sandwich Part,*,No Mapping,,*,
Schematic Workset,Workset object,*,No Mapping,,*,
Seam Curve,Physical Part,*,No Mapping,,*,
Seam Curve Reference Connection,Master-Slave Connection,*,No Mapping,,*,
Seam Support,Physical Skin,*,No Mapping,,*,
Secondary Graphic,Symbolic Part Graphic,*,No Mapping,,*,
Section Definition Connection,Master-Slave Connection,*,No Mapping,,*,
Section Graphical Representation,User Defined Graphic,*,No Mapping,,*,
Sectioned Rectangular End,Derivation Part,*,HVACRectSection,HVACRectPart,*,HVA
Sectioned Rectangular End,Derivation Part,Duct Material Thickness,No Mapping,,,
Sectioned Rectangular End,Derivation Part,Duct Material Thickness Overridden,No Mapping,,,
Sectioned Rectangular End,Derivation Part,Height##1,No Mapping,,,
Sectioned Rectangular End,Derivation Part,Height##2,No Mapping,,,
Sectioned Rectangular End,Derivation Part,Height##3,No Mapping,,,
Sectioned Rectangular End,Derivation Part,Height##4,No Mapping,,,
Sectioned Rectangular End,Derivation Part,Width##1,No Mapping,,,
Sectioned Rectangular End,Derivation Part,Width##2,No Mapping,,,
Sectioned Rectangular End,Derivation Part,Width##3,No Mapping,,,
Sectioned Rectangular End,Derivation Part,Width##4,No Mapping,,,
Sensor Function,Instrument Function Part,*,InstrSensorFunc_Sample,InstrPartFunc,*,INS
Separator Function,Equipment Function Part,*,EquipSeparatorFunc_Sample,EquipFunc,*,EQT
Separator Function,Equipment Function Part,Capacity,EquipSeparatorFunc_Sample,EquipFunc,Capacity,EQT
Separator Function,Equipment Function Part,Commodity Type,No Mapping,,,
Separator Function,Equipment Function Part,Flow Rate,EquipSeparatorFunc_Sample,EquipFunc,FlowRate,EQT
Separator Function,Equipment Function Part,Pressure,No Mapping,,,
Separator Function,Equipment Function Part,Process Description,No Mapping,,,
Separator Function,Equipment Function Part,Temperature,No Mapping,,,
Setup Workset,Workset object,*,No Mapping,,*,
Sheet,Generic Bag      Object,*,No Mapping,,*,
Shell,Shell Plate,*,No Mapping,,*,
Shell Plate,Hull Steelwork Plate Type,*,No Mapping,,*,
Ship Construction Assembly,Construction Assembly,*,No Mapping,,*,
Signal Converter Function,Instrument Function Part,*,InstrSignalConvFunc_Sample,InstrPartFunc,*,INS
Sink,Static Equipment Component,*,No Mapping,,*,
Sketch Graphic,Physical Graphic,*,No Mapping,,*,
Slave Connector,Constraint Connector,*,No Mapping,,*,
Slot connection,Functional Connection,*,No Mapping,,*,
Slot Connection,Master-Slave Connection,*,No Mapping,,*,
Slot Cutout,Cutout,*,No Mapping,,*,
Source,Static Equipment Component,*,EquipSource,EquipMaterialHandler,*,EQT
Source,Static Equipment Component,Output Type,No Mapping,,,
Spacer,Miscellaneous,*,PipingSpacer,PipingMiscellaneous,*,PIP
Spec Change Zone,Zone,*,No Mapping,,*,
Special Duct Flat Oval In-line Component,Special Flat Oval Duct Components,*,No Mapping,,*,
Special Duct Rectangular In-line Component,Special Rectangular Duct Components,*,HVACRectIndicator,HVACRectInLineInstr,*,HVA
Special Duct Round In-line Component,Special Round Duct Components,*,HVACRndIndicator,HVACRndInLineInstr,*,HVA
Special Flat Oval Duct Components,Duct Flat Oval Parts,*,No Mapping,,*,
Special Purpose Steam Turbine,Mechanical Equipment Component,*,EquipSteamTurbine,EquipDriver,*,EQT
Special Rectangular Duct Components,Duct Rectangular Parts,*,HVACRectInLineInstr,HVACRectPart,*,HVA
Special Rectangular Duct Components,Duct Rectangular Parts,Angle,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Angle2,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Bend_Radius ,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Bend_Radius2,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Diameter,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Diameter_Bead,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Diameter_Bead2,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Diameter_Bead3,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Diameter_Bead4,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Diameter2,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Diameter3,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Diameter4,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Gap,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Heel_Radius ,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Heel_Radius2,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Height2,HVACRectInLineInstr,HVACRectPart,Height2,HVA
Special Rectangular Duct Components,Duct Rectangular Parts,Height3,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Length_Bead,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Length_Bead2,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Length_Bead3,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Length_Bead4,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Length_Ext3,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Length_Ext4 ,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Length_Flange,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Length_Flange2,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Length_Flange3,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Length_Flange4,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Length_Lap,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Length_Lap2,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Length_Lap3,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Length_Lap4,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Length3,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Length4,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Lip,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Lip_Flange,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Lip_Flange2,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Lip_Flange3,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Lip_Flange4,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Lip_Lap,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Lip_Lap2,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Lip_Lap3,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Lip_Lap4,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Lip2,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Offset_Center ,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Offset_Center2,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Offset_Edge,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Offset_Edge2,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Ratio_BendRad ,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Ratio_BendRad2,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Ratio_ThroatRad,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Ratio_ThroatRad2,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Thickness_Duct,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Thickness_Matl,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Throat_Radius,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Throat_Radius2,No Mapping,,,
Special Rectangular Duct Components,Duct Rectangular Parts,Width2,HVACRectInLineInstr,HVACRectPart,Width2,HVA
Special Rectangular Duct Components,Duct Rectangular Parts,Width3,No Mapping,,,
Special Round Duct Components,Duct Round Parts,*,HVACRndInLineInstr,HVACRndPart,`,HVA
Special Round Duct Components,Duct Round Parts,Angle,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Angle2,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Bend_Radius,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Bend_Radius2,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Diameter_Bead3,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Diameter_Bead4,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Diameter2,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Diameter3,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Diameter4,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Gap,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Heel_Radius ,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Heel_Radius2,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Height##1,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Height##2,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Height##3,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Height##4,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Height2,HVACRndInLineInstr,HVACRndPart,Height2,HVA
Special Round Duct Components,Duct Round Parts,Height3,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Length_Bead3,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Length_Bead4,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Length_Ext3,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Length_Ext4,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Length_Flange3,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Length_Flange4,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Length_Lap3,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Length_Lap4,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Length3,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Length4,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Lip,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Lip_Flange3,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Lip_Flange4,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Lip_Lap3,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Lip_Lap4,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Lip2,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Offset_Center,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Offset_Center2,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Offset_Edge,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Offset_Edge2,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Ratio_BendRad,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Ratio_BendRad2,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Ratio_ThroatRad,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Ratio_ThroatRad2,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Thickness_Duct,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Thickness_Matl,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Throat_Radius,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Throat_Radius2,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Width##1,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Width##2,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Width##3,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Width##4,No Mapping,,,
Special Round Duct Components,Duct Round Parts,Width2,HVACRndInLineInstr,HVACRndPart,Width2,HVA
Special Round Duct Components,Duct Round Parts,Width3,No Mapping,,,
Special Vertical Curve,Vertical Curve,*,No Mapping,,*,
Specialty,Miscellaneous,*,PipingSpecialty,PipingMiscellaneous,*,PIP
Spectacle,Miscellaneous,*,PipingSpectacle,PipingMiscellaneous,*,PIP
Splitting Plane,J7REFLEV,*,No Mapping,,*,
Spool,Generic Bag      Object,*,PipingSpool,Group,*,PIP
Stand Alone Workset,Workset object,*,No Mapping,,*,
Standard Bracket,Bracket Type,*,No Mapping,,*,
Standard geometry,Physical Graphic,*,No Mapping,,*,
Standard Graphic,Symbolic Part Graphic,*,No Mapping,,*,
Standard Member Geometry,Physical Graphic,*,No Mapping,,*,
Starboard Hull,Hull Form Type,*,No Mapping,,*,
Start Limit,Limit,*,No Mapping,,*,
Static Equipment Component,Equipment Component (Part),*,No Mapping,,*,
Steam Trap,Miscellaneous,*,PipingSteamTrap,PipingMiscellaneous,*,PIP
Stiffener,Structural Planar-Type,*,No Mapping,,*,
Stiffener Profile,Stiffener Profile type,*,No Mapping,,*,
Stiffener Profile type,Hull Steelwork Profile Type,*,No Mapping,,*,
Stop,Conveyor Part,*,No Mapping,,*,
Stop Check Valve,Valve,*,PipingStopCheckValve,PipingValve,*,PIP
Stop Check Valve Function,Process Control Function Part,*,PipingStopCkValveFunc_Sample,PipingValveFunc,*,PIP
Stop Connector,Conveyor Connector,*,No Mapping,,*,
Storage Equipment,Static Equipment Component,*,No Mapping,,*,
Storage Function,Equipment Function Part,*,EquipStorageFunc_Sample,EquipFunc,*,EQT
Storage Function,Equipment Function Part,Capacity,EquipStorageFunc_Sample,EquipFunc,Capacity,EQT
Storage Function,Equipment Function Part,Commodity Type,No Mapping,,,
Storage Function,Equipment Function Part,Flow Rate,EquipStorageFunc_Sample,EquipFunc,FlowRate,EQT
Storage Function,Equipment Function Part,Pressure,No Mapping,,,
Storage Function,Equipment Function Part,Process Description,No Mapping,,,
Storage Function,Equipment Function Part,Temperature,No Mapping,,,
STR Exact Solid Graphic,Physical Graphic,*,No Mapping,,*,
Straight Segment,Pipe Segment,*,PipingStraightPipe,PipingPipe,*,PIP
Straight Track,Physical String,*,No Mapping,,*,
Strainer,Miscellaneous,*,PipingStrainer,PipingMiscellaneous,*,PIP
Stream,Logical Line,*,No Mapping,,*,
Stringer,Composite Web Type,*,No Mapping,,*,
STRP Exact Solid Graphic,Physical Graphic,*,No Mapping,,*,
Structural Composite Web Type,Generic Group    Object,*,No Mapping,,*,
Structural Connection,Mechnical Connection,*,No Mapping,,*,
Structural Connector,Mechanical Connector,*,No Mapping,,*,
Structural Master Connector,Structural Connector,*,No Mapping,,*,
Structural Member,Physical String,*,No Mapping,,*,
Structural Member Type,Generic Group    Object,*,No Mapping,,*,
Structural Member-Type,Structural Member Type,*,No Mapping,,*,
Structural Planar Type,Generic Group    Object,*,No Mapping,,*,
Structural Planar-Type,Structural Planar Type,*,No Mapping,,*,
Structural Slave Connector,Structural Connector,*,No Mapping,,*,
Structural Slave Connector Along the Member,Structural Connector,*,No Mapping,,*,
Stub End,Fittings,*,PipingStubEnd,PipingFitting,*,PIP
Sub-project,Generic Group    Object,*,No Mapping,,*,
Sub-Project Reference Axis Graphic,Axis Graphic,*,No Mapping,,*,
Subtract Connection,Master-Slave Connection,*,No Mapping,,*,
Support Connector,Conveyor Connector,*,No Mapping,,*,
Surfacic Plate,Curved Plate,*,No Mapping,,*,
Surfacic Support,Reference Plane,*,No Mapping,,*,
Switch,Conveyor Part,*,No Mapping,,*,
Switch Function,Instrument Function Part,*,InstrSwitchFunc_Sample,InstrPartFunc,*,INS
Switch Valve Function,Process Control Function Part,*,PipingSwitchValveFunc_Sample,PipingValveFunc,*,PIP
Symbolic Connection Graphic,Generic Graphic  Object,*,No Mapping,,*,
Symbolic Part Graphic,Generic Graphic  Object,*,No Mapping,,*,
Symbolic Sub Object Graphic,Generic Graphic  Object,*,No Mapping,,*,
Take-Up,Conveyor Part,*,No Mapping,,*,
Tee,Branches,*,PipingTee,PipingBranch,*,PIP
Tee,Branches,Center to Branch##1,No Mapping,,,
Tee,Branches,Center to Branch##2,No Mapping,,,
Tee,Branches,Center to Branch##3,No Mapping,,,
Tee,Branches,Center to Branch##4,No Mapping,,,
Tee,Branches,Center to Face##1,No Mapping,,,
Tee,Branches,Center to Face##2,No Mapping,,,
Tee,Branches,Center to Face##3,No Mapping,,,
Tee,Branches,Center to Face##4,No Mapping,,,
Tee,Branches,End Diameter##1,No Mapping,,,
Tee,Branches,End Diameter##2,No Mapping,,,
Tee,Branches,End Diameter##3,No Mapping,,,
Tee,Branches,End Diameter##4,No Mapping,,,
Tee,Branches,End Offset##1,No Mapping,,,
Tee,Branches,End Offset##2,No Mapping,,,
Tee,Branches,End Offset##3,No Mapping,,,
Tee,Branches,End Offset##4,No Mapping,,,
Tee,Branches,End Thickness##1,No Mapping,,,
Tee,Branches,End Thickness##2,No Mapping,,,
Tee,Branches,End Thickness##3,No Mapping,,,
Tee,Branches,End Thickness##4,No Mapping,,,
Tee,Branches,Face to Face##1,No Mapping,,,
Tee,Branches,Face to Face##2,No Mapping,,,
Tee,Branches,Face to Face##3,No Mapping,,,
Tee,Branches,Face to Face##4,No Mapping,,,
Tee,Branches,Nominal Size##1,PipingPart,Physical_Product,NominalSize,PIP
Tee,Branches,Nominal Size##2,PipingPart,Physical_Product,NominalSize2,PIP
Tee,Branches,Nominal Size##3,PipingPart,Physical_Product,NominalSize3,PIP
Tee,Branches,Nominal Size##4,PipingPart,Physical_Product,NominalSize4,PIP
Tee,Branches,OD1##1,PipingPart,Physical_Product,OutsideDiameter,PIP
Tee,Branches,OD1##2,PipingPart,Physical_Product,OutsideDiameter2,PIP
Tee,Branches,OD1##3,PipingPart,Physical_Product,OutsideDiameter3,PIP
Tee,Branches,OD1##4,PipingPart,Physical_Product,OutsideDiameter4,PIP
Tee,Branches,OD2##1,No Mapping,,,
Tee,Branches,OD2##2,No Mapping,,,
Tee,Branches,OD2##3,No Mapping,,,
Tee,Branches,OD2##4,No Mapping,,,
Tee Shape,Structural Member,*,No Mapping,,*,
Temporary,Unspecified Reference Plane,*,No Mapping,,*,
Terminator Function,Piping Function Part,*,PipingTerminatorFunc_Sample,PipingPartFunc,*,PIP
Throttle Valve Function,Process Control Function Part,*,PipingThrotValveFunc_Sample,PipingValveFunc,*,PIP
Tool,Static Equipment Component,*,EquipTool,EquipMechanical,*,EQT
Tower Function,Equipment Function Part,*,EquipTowerFunc_Sample,EquipFunc,*,EQT
Tower Function,Equipment Function Part,Capacity,No Mapping,,,
Tower Function,Equipment Function Part,Commodity Type,No Mapping,,,
Tower Function,Equipment Function Part,Flow Rate,No Mapping,,,
Tower Function,Equipment Function Part,Pressure,No Mapping,,,
Tower Function,Equipment Function Part,Process Description,No Mapping,,,
Tower Function,Equipment Function Part,Temperature,No Mapping,,,
Traction Wheel Turn,Horizontal Turn,*,No Mapping,,*,
Transfer,Conveyor Part,*,No Mapping,,*,
Transmitter Function,Instrument Function Part,*,InstrTransmitterFunc_Sample,InstrPartFunc,*,INS
Tray,Raceways Straight Piece,*,No Mapping,,*,
Tray Branch,Tray Junctions,*,No Mapping,,*,
Tray Dropout,Tray Fittings,*,No Mapping,,*,
Tray Elbows,Tray Part,*,No Mapping,,*,
Tray End Plate,Tray Fittings,*,No Mapping,,*,
Tray Fittings,Tray Part,*,No Mapping,,*,
Tray Horizontal Angle Coupler,Tray Fittings,*,No Mapping,,*,
Tray Horizontal Cross,Tray Junctions,*,No Mapping,,*,
Tray Horizontal Elbow,Tray Elbows,*,No Mapping,,*,
Tray Horizontal Left-Hand Wye,Tray Junctions,*,No Mapping,,*,
Tray Horizontal Right-Hand Wye,Tray Junctions,*,No Mapping,,*,
Tray Horizontal Tee,Tray Junctions,*,No Mapping,,*,
Tray Junctions,Tray Part,*,No Mapping,,*,
Tray Left-hand Reducer,Tray Fittings,*,No Mapping,,*,
Tray Part,Raceways Parts,*,No Mapping,,*,
Tray Reducing Coupler,Tray Fittings,*,No Mapping,,*,
Tray Right-hand Reducer,Tray Fittings,*,No Mapping,,*,
Tray Straight Coupler,Tray Fittings,*,No Mapping,,*,
Tray Straight Reducer,Tray Fittings,*,No Mapping,,*,
Tray Tee Joint Coupler,Tray Fittings,*,No Mapping,,*,
Tray Vertical Angle Coupler,Tray Fittings,*,No Mapping,,*,
Tray Vertical Cross,Tray Junctions,*,No Mapping,,*,
Tray Vertical Inside Elbow,Tray Elbows,*,No Mapping,,*,
Tray Vertical Outside Elbow,Tray Elbows,*,No Mapping,,*,
Tray Vertical Tee,Tray Junctions,*,No Mapping,,*,
Tube,Physical String,*,No Mapping,,*,
Tube Connector,Fluidic Connector,*,No Mapping,,*,
Tubing Connection,Fluidic Connection,*,No Mapping,,*,
Twisted Profile,Stiffener Profile type,*,No Mapping,,*,
Undefined Function Part,Process Function Part,*,No Mapping,,*,
Union,Joint,*,PipingUnion,PipingFitting,*,PIP
Unique Duct Flat Oval Fitting,Unique Flat Oval Duct Parts,*,No Mapping,,*,
Unique Duct Rectangular Fitting,Unique Rectangular Duct Parts,*,No Mapping,,*,
Unique Duct Round Fitting,Unique Round Duct Parts,*,No Mapping,,*,
Unique Duct Shape for Flat Oval,Unique Flat Oval Duct Parts,*,No Mapping,,*,
Unique Duct Shape for Rectangular,Unique Rectangular Duct Parts,*,No Mapping,,*,
Unique Duct Shape for Round,Unique Round Duct Parts,*,No Mapping,,*,
Unique Flat Oval Duct Parts,Duct Flat Oval Parts,*,No Mapping,,*,
Unique Rectangular Duct Parts,Duct Rectangular Parts,*,No Mapping,,*,
Unique Round Duct Parts,Duct Round Parts,*,No Mapping,,*,
Unspec Hole,Cutout,*,No Mapping,,*,
Unspec Shape,Structural Member,*,No Mapping,,*,
Unspecified Bracket,Bracket Type,*,No Mapping,,*,
Unspecified Equipment,Equipment Component (Part),*,EquipMiscellaneous,Equipment,*,EQT
Unspecified Reference Plane,J7REFLEV,*,No Mapping,,*,
